Date_TimeUTC,Date_TimeEU,User,Id,Source,Tweet.content,Tweet.URL,Outlinks,ReplyCount,RetweetCount,LikeCount,QuoteCount,ViewCount,Language,Hashtags,Media+,MentionedUsers,inReplyToUser,inReplyToTweetId,Year
2014-01-06 19:05:31,2014-01-06 20:05:31,elonmusk,420269918005628928,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Preparing to launch a Thaicom satellite to geostationary super-sync orbit at 5pm Florida time http://t.co/cEq8TEXeo6,https://twitter.com/elonmusk/status/420269918005628928,[],97,375,407,0,,en,,"[Photo(previewUrl='https://pbs.twimg.com/media/BdUZQ4UCEAAb0Vk?format=png&name=small', fullUrl='https://pbs.twimg.com/media/BdUZQ4UCEAAb0Vk?format=png&name=large', altText=None)]",,,,2014
2014-01-06 23:05:03,2014-01-07 00:05:03,elonmusk,420330200186880000,Twitter for iPhone,@westcoastbill Thanks Bill! Sure is a great start to 2014 :),https://twitter.com/elonmusk/status/420330200186880000,[],19,6,52,23,,en,,,"[User(username='westcoastbill', id=692023, displayname='bill lee 🐾', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",https://twitter.com/westcoastbill,4.203299382945628e+17,2014
2014-01-07 00:38:53,2014-01-07 01:38:53,elonmusk,420353814579802112,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Rough cut of Falcon 9 Thaicom flight http://t.co/aC3k4neWie,https://twitter.com/elonmusk/status/420353814579802112,['http://www.youtube.com/watch?v=-np8yPS8JQQ&feature=youtu.be'],88,277,271,1,,en,,,,,,2014
2014-01-23 20:40:34,2014-01-23 21:40:34,elonmusk,426454433916940288,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tesla policy is to charge the same price (+ taxes &amp; shipping) everywhere in the world http://t.co/cXOtokcBeG,https://twitter.com/elonmusk/status/426454433916940290,['http://teslamotors.com/blog/fair-price'],164,515,507,0,,en,,,,,,2014
2014-01-26 09:27:04,2014-01-26 10:27:04,elonmusk,427372102820573184,Twitter for iPhone,Will be doing the LA-NY family road trip over Spring Break. Made everyone watch National Lampoon's Vacation as prep.,https://twitter.com/elonmusk/status/427372102820573184,[],98,359,656,0,,en,,,,,,2014
2014-01-26 09:30:23,2014-01-26 10:30:23,elonmusk,427372940603437120,Twitter for iPhone,"Two teams from Tesla aiming to set a cross-country EV speed record this week. Departing Fri from LA, arriving Sun in NY.",https://twitter.com/elonmusk/status/427372940603437056,[],92,357,325,0,,en,,,,,,2014
2014-01-26 09:24:58,2014-01-26 10:24:58,elonmusk,427371574451507200,Twitter for iPhone,"Tesla Supercharger network now energized from New York to LA, both coast + Texas! Approx 80% of US population covered.",https://twitter.com/elonmusk/status/427371574451507200,[],98,811,632,0,,en,,,,,,2014
2014-01-30 07:17:30,2014-01-30 08:17:30,elonmusk,428789050925785088,Twitter for iPhone,Tesla cars are now in all 50 US states (map credit Edmunds)! http://t.co/ehq2Muu5cr,https://twitter.com/elonmusk/status/428789050925785088,[],239,1022,1098,0,,en,,"[Photo(previewUrl='https://pbs.twimg.com/media/BfNdXrOCMAAGdxk?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/BfNdXrOCMAAGdxk?format=jpg&name=large', altText=None)]",,,,2014
2014-02-02 14:07:53,2014-02-02 15:07:53,elonmusk,429979489922461696,Twitter for iPhone,Tesla LA to NY Supercharger rally just completed in 76 hours across northern route in dead of winter thru heavy snow!,https://twitter.com/elonmusk/status/429979489922461696,[],217,1111,1039,1,,en,,,,,,2014
2014-02-07 17:54:59,2014-02-07 18:54:59,elonmusk,431848580710555584,"<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","Value is holding up ""Tesla car is worth more used than new | MNN - http://t.co/NLLdo1jBzM""",https://twitter.com/elonmusk/status/431848580710555648,['http://www.mnn.com/green-tech/transportation/blogs/huh-tesla-car-is-worth-more-used-than-new'],85,482,422,2,,en,,,,,,2014
2014-02-09 06:08:14,2014-02-09 07:08:14,elonmusk,432395496972238784,Twitter for iPhone,"Saw The Lego Movie earlier today. Brilliant writing and humor! Loved the ""Everything is awesome..."" theme song.",https://twitter.com/elonmusk/status/432395496972238848,[],105,555,890,5,,en,,,,,,2014
